"Lab.Nut","TP","TP_flg","SRP","SRP_flg","NH3-N","NH3-N_flg","NO23-N","NO23-N_flg","TKN","TKN_flg","TN","TN_flg"
"G-7303",6.0e-03,,5.0e-03,"<",0.01,"<",0.70,,0.21,,,
"G-7304",7.0e-03,,5.0e-03,"<",0.01,"<",0.69,,0.18,,,
"G-7305",7.0e-03,,5.0e-03,"<",0.01,"<",0.70,,0.13,,,
"G-7306",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.15,,0.22,,,
"G-7307",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.14,,0.29,,,
"G-7308",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.43,,0.19,,,
"G-7309",5.0e-03,"<",5.0e-03,"<",0.02,,0.45,,0.12,,,
"G-7310",5.0e-03,,5.0e-03,"<",0.01,"<",0.52,,0.17,,,
"G-7311",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.59,,0.21,,,
"G-7312",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.65,,0.27,,,
"G-7313",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.66,,0.20,,,
"G-7314",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.66,,0.17,,,
"G-7315",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.61,,0.17,,,
"G-7316",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.37,,0.26,,,
"G-7317",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.35,,0.21,,,
"G-7318",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.55,,0.20,,,
"G-7319",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.46,,0.18,,,
"G-7320",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.55,,0.23,,,
"G-7321",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.62,,0.17,,,
"G-7322",5.0e-03,,5.0e-03,"<",0.01,"<",0.63,,0.24,,,
"G-7323",5.0e-03,,5.0e-03,"<",0.01,"<",0.63,,0.21,,,
"G-7324",5.0e-03,,5.0e-03,"<",0.01,"<",0.64,,0.22,,,
"G-7325",5.0e-03,,5.0e-03,"<",0.01,"<",0.26,,0.24,,,
"G-7326",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.25,,0.14,,,
"G-7327",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.56,,0.09,,,
"G-7328",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.53,,0.10,,,
"G-7329",6.0e-03,,5.0e-03,"<",0.01,"<",0.59,,0.10,,,
"G-7330",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.31,,0.14,,,
"G-7331",5.0e-03,"<",5.0e-03,"<",0.01,,0.32,,0.14,,,
"G-7332",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.58,,0.10,,,
"G-7333",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.45,,0.06,,,
"G-7334",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.54,,0.05,"<",,
"G-7335",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.60,,0.05,,,
"G-7336",6.0e-03,,5.0e-03,"<",0.01,,0.63,,0.08,,,
"G-7337",7.0e-03,,5.0e-03,"<",0.01,"<",0.63,,0.09,,,
"G-7338",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.62,,0.06,,,
"G-7339",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.31,,0.11,,,
"G-7340",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.31,,0.13,,,
"G-7341",5.0e-03,,5.0e-03,"<",0.01,"<",0.68,,0.09,,,
"G-7342",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.50,,0.07,,,
"G-7343",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.55,,0.05,,,
"G-7344",8.0e-03,,5.0e-03,"<",0.01,"<",0.65,,0.08,,,
"G-7345",7.0e-03,,5.0e-03,"<",0.01,"<",0.59,,0.11,,,
"G-7346",6.0e-03,,5.0e-03,"<",0.01,"<",0.25,,0.15,,,
"G-7347",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.29,,0.13,,,
"G-7348",9.0e-03,,5.0e-03,"<",0.01,,0.38,,0.19,,,
"G-7349",0.01,,5.0e-03,"<",0.01,"<",0.61,,0.18,,,
"G-7350",0.03,,5.0e-03,"<",0.01,,0.50,,0.22,,,
"G-7352",0.01,,5.0e-03,"<",0.01,"<",0.06,,0.12,,,
"G-7353",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.41,,0.06,,,
"G-7355",0.00,,5.0e-03,"<",0.01,,0.44,,0.09,,,
"G-8574",0.63,,5.0e-03,"<",0.19,,0.06,,0.47,,,
"G-8575",0.41,,5.0e-03,,0.14,,0.08,,0.23,,,
"G-8576",0.03,,5.0e-03,"<",0.05,,0.07,,0.07,,,
"G-8578",6.0e-03,,5.0e-03,"<",0.01,"<",0.23,,0.12,,,
"G-8579",6.0e-03,,5.0e-03,"<",0.01,"<",0.17,,0.10,,,
"G-8580",5.0e-03,,5.0e-03,"<",0.01,"<",0.57,,0.05,,,
"G-8581",8.0e-03,,5.0e-03,"<",0.01,"<",0.30,,0.11,,,
"G-8582",6.0e-03,,5.0e-03,"<",0.01,"<",0.53,,0.14,,,
"G-8583",6.0e-03,,5.0e-03,"<",0.01,"<",0.56,,0.07,,,
"G-8584",0.01,,6.0e-03,,0.01,"<",0.57,,0.11,,,
"G-8585",5.0e-03,,5.0e-03,"<",0.01,"<",0.44,,0.10,,,
"G-8586",0.01,,5.0e-03,,0.01,"<",0.50,,0.10,,,
"G-8587",0.01,,7.0e-03,,0.01,"<",0.50,,0.17,,,
"G-8588",9.0e-03,,5.0e-03,,0.01,"<",0.55,,0.08,,,
"G-8589",7.0e-03,,5.0e-03,"<",0.01,,0.41,,0.06,,,
"G-8590",8.0e-03,,5.0e-03,"<",0.01,"<",0.50,,0.06,,,
"G-8591",7.0e-03,,5.0e-03,"<",0.01,"<",0.46,,0.09,,,
"G-8592",0.01,,7.0e-03,,0.01,"<",0.56,,0.09,,,
"G-8593",5.0e-03,,5.0e-03,"<",0.01,"<",0.45,,0.07,,,
"G-8594",0.01,,8.0e-03,,0.01,"<",0.48,,0.08,,,
"G-8595",0.01,,6.0e-03,,0.01,,0.46,,0.13,,,
"G-8596",0.01,,5.0e-03,,0.02,,0.41,,0.22,,,
"G-8597",5.0e-03,,5.0e-03,"<",0.01,"<",0.40,,0.10,,,
"G-8598",6.0e-03,,5.0e-03,"<",0.01,"<",0.39,,0.13,,,
"G-8599",8.0e-03,,5.0e-03,"<",0.02,,0.39,,0.17,,,
"G-8600",0.01,,5.0e-03,"<",0.02,,0.38,,0.24,,,
"G-8601",8.0e-03,,5.0e-03,"<",0.01,,0.35,,0.28,,,
"G-8602",0.01,,5.0e-03,"<",0.10,,0.39,,0.33,,,
"G-8603",0.01,,5.0e-03,"<",0.11,,0.41,,0.32,,,
"G-8604",8.0e-03,,5.0e-03,"<",0.01,"<",0.27,,0.17,,,
"G-8605",0.01,,0.01,,0.01,"<",0.45,,0.16,,,
"G-8606",0.01,,9.0e-03,,0.01,"<",0.49,,0.17,,,
"G-8607",0.02,,5.0e-03,"<",0.18,,0.47,,0.44,,,
"G-8608",0.58,,5.0e-03,"<",0.20,,0.46,,0.48,,,
"G-8609",6.0e-03,,5.0e-03,"<",0.01,"<",0.35,,0.20,,,
"G-8610",0.01,,5.0e-03,"<",0.07,,0.40,,0.30,,,
"G-8611",0.01,,5.0e-03,"<",0.01,"<",0.37,,0.18,,,
"G-8612",0.01,,5.0e-03,"<",0.03,,0.37,,0.25,,,
"G-8613",0.01,,5.0e-03,"<",0.01,,0.39,,0.19,,,
"G-8614",0.03,,7.0e-03,,0.06,,0.56,,0.17,,,
"G-8615",0.01,,5.0e-03,"<",0.01,"<",0.34,,0.18,,,
"G-8616",8.0e-03,,5.0e-03,"<",0.01,,0.42,,0.15,,,
"G-8617",6.0e-03,,5.0e-03,"<",0.01,"<",0.34,,0.15,,,
"G-8618",5.0e-03,,5.0e-03,"<",0.01,,0.38,,0.18,,,
"G-8619",5.0e-03,,5.0e-03,"<",0.01,"<",0.37,,0.12,,,
"G-8620",6.0e-03,,5.0e-03,"<",0.01,"<",0.39,,0.12,,,
"G-8621",0.01,,5.0e-03,"<",0.01,"<",0.47,,0.10,,,
"G-8622",8.0e-03,,5.0e-03,"<",0.01,,0.12,,0.19,,,
"G-8623",0.01,,8.0e-03,,0.11,,0.13,,0.30,,,
"G-8626",0.01,,5.0e-03,"<",0.01,"<",0.23,,0.16,,,
"G-9193",0.54,,0.02,,0.14,,0.21,,0.28,,,
"G-9195",0.02,,5.0e-03,"<",0.08,,0.44,,0.30,,,
"G-9196",0.03,,0.01,,0.13,,0.33,,0.25,,,
"G-9197",0.02,,5.0e-03,"<",0.11,,0.53,,0.18,,,
"G-9198",8.0e-03,,5.0e-03,"<",0.06,,0.53,,0.12,,,
"G-9199",0.01,,5.0e-03,"<",0.13,,0.45,,0.16,,,
"G-9200",0.01,,8.0e-03,,0.01,,0.74,,0.08,,,
"G-9201",6.0e-03,,5.0e-03,"<",0.01,"<",0.48,,0.11,,,
"G-9202",7.0e-03,,5.0e-03,"<",0.01,"<",0.55,,0.08,,,
"G-9203",0.01,,9.0e-03,,0.01,"<",0.64,,0.07,,,
"G-9204",6.0e-03,,5.0e-03,"<",0.01,"<",0.42,,0.11,,,
"G-9205",6.0e-03,,5.0e-03,"<",0.01,"<",0.67,,0.05,"<",,
"G-9206",0.01,,6.0e-03,,0.01,"<",0.61,,0.05,"<",,
"G-9207",8.0e-03,,5.0e-03,"<",0.02,,0.49,,0.12,,,
"G-9208",6.0e-03,,5.0e-03,"<",0.02,,0.54,,0.12,,,
"G-9209",0.01,,6.0e-03,,0.01,"<",0.61,,0.12,,,
"G-9210",0.25,,5.0e-03,,0.07,,0.43,,0.26,,,
"G-9211",0.10,,5.0e-03,"<",0.08,,0.44,,0.29,,,
"G-9212",0.02,,5.0e-03,"<",0.02,,0.42,,0.24,,,
"G-9213",0.02,,6.0e-03,,0.09,,0.44,,0.26,,,
"G-9214",0.01,,7.0e-03,,0.05,,0.56,,0.19,,,
"G-9215",0.01,,5.0e-03,,0.01,"<",0.39,,0.15,,,
"G-9216",0.01,,5.0e-03,"<",0.07,,0.41,,0.20,,,
"G-9217",0.01,,5.0e-03,"<",0.06,,0.46,,0.23,,,
"G-9218",0.01,,6.0e-03,,0.02,,0.55,,0.11,,,
"G-9219",5.0e-03,,5.0e-03,"<",0.01,"<",0.39,,0.14,,,
"G-9220",6.0e-03,,5.0e-03,"<",0.01,,0.41,,0.13,,,
"G-9221",6.0e-03,,5.0e-03,"<",0.01,"<",0.54,,0.10,,,
"G-9222",5.0e-03,,5.0e-03,"<",0.01,"<",0.32,,0.07,,,
"G-9223",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.37,,0.09,,,
"G-9224",7.0e-03,,5.0e-03,"<",0.01,"<",0.43,,0.05,"<",,
"G-9225",5.0e-03,,5.0e-03,"<",0.01,"<",0.49,,0.13,,,
"G-9226",8.0e-03,,5.0e-03,"<",0.01,"<",0.53,,0.09,,,
"G-9227",0.02,,5.0e-03,"<",0.03,,0.07,,0.08,,,
"G-9228",7.0e-03,,5.0e-03,"<",0.01,,0.16,,0.08,,,
"G-9229",6.0e-03,,5.0e-03,"<",0.01,,0.25,,0.08,,,
"G-9230",7.0e-03,,5.0e-03,"<",0.01,"<",0.24,,0.10,,,
"G-9231",5.0e-03,,5.0e-03,"<",0.01,"<",0.31,,0.11,,,
"G-9232",7.0e-03,,8.0e-03,,0.01,"<",0.53,,0.09,,,
"G-9233",0.01,,5.0e-03,"<",0.02,,0.31,,0.10,,,
"G-9234",9.0e-03,,5.0e-03,"<",0.01,"<",0.28,,0.07,,,
"G-9235",8.0e-03,,5.0e-03,"<",0.01,"<",0.48,,0.10,,,
"G-9236",5.0e-03,,5.0e-03,"<",0.01,"<",0.29,,0.10,,,
"G-9237",5.0e-03,,5.0e-03,"<",0.01,"<",0.39,,0.10,,,
"G-9238",0.01,,5.0e-03,,0.01,"<",0.63,,0.07,,,
"G-9239",6.0e-03,,5.0e-03,"<",0.01,"<",0.26,,0.11,,,
"G-9240",0.01,,5.0e-03,"<",0.01,"<",0.69,,0.11,,,
"G-9241",0.01,,7.0e-03,,0.01,"<",0.71,,0.09,,,
"G-9853",5.0e-03,"<",0.01,,0.01,"<",0.48,,0.26,,,
"G-9855",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.46,,0.24,,,
"G-9987",0.02,,0.02,,0.01,"<",0.20,,0.41,,,
"G-9988",0.01,,5.0e-03,"<",0.01,"<",0.03,"<",0.29,,,
"G-9989",0.01,,5.0e-03,"<",0.01,"<",0.31,,0.29,,,
"G-9990",5.0e-03,,5.0e-03,"<",0.01,"<",0.03,"<",0.31,,,
"G-9991",7.0e-03,,5.0e-03,"<",0.01,"<",0.15,,0.17,,,
"G-9992",0.01,,9.0e-03,,0.01,"<",0.59,,0.16,,,
"G-9993",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.03,"<",0.20,,,
"G-9994",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.21,,0.17,,,
"G-9995",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.54,,0.15,,,
"G-9997",7.0e-03,,5.0e-03,"<",0.01,"<",0.54,,0.17,,,
"G-9998",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.28,,0.21,,,
"G-9999",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.03,"<",0.20,,,
"H-1000",0.42,,0.07,,0.01,,0.77,,0.30,,,
"H-1001",0.02,,5.0e-03,"<",0.01,"<",0.20,,0.25,,,
"H-1002",0.01,,5.0e-03,"<",0.01,"<",0.59,,0.27,,,
"H-1003",0.02,,0.01,,0.01,"<",0.58,,0.31,,,
"H-1004",0.01,,5.0e-03,"<",0.01,"<",0.16,,0.29,,,
"H-1005",8.0e-03,,5.0e-03,"<",0.01,"<",0.28,,0.33,,,
"H-1006",0.02,,0.01,,0.01,"<",0.59,,0.26,,,
"H-1007",8.0e-03,,5.0e-03,"<",0.01,"<",0.23,,0.29,,,
"H-1008",6.0e-03,,5.0e-03,"<",0.01,"<",0.28,,0.22,,,
"H-1009",0.01,,0.01,,0.01,"<",0.53,,0.23,,,
"H-1010",5.0e-03,,5.0e-03,"<",0.01,"<",0.30,,0.26,,,
"H-1011",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.46,,0.26,,,
"H-1012",0.01,,7.0e-03,,0.01,"<",0.46,,0.19,,,
"H-1013",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.22,,0.20,,,
"H-1014",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.45,,0.15,,,
"H-1015",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.19,,0.23,,,
"H-1016",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.40,,0.25,,,
"H-1017",6.0e-03,,5.0e-03,"<",0.01,"<",0.38,,0.27,,,
"H-1018",8.0e-03,,6.0e-03,,0.01,"<",0.47,,0.23,,,
"H-1019",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.09,,0.20,,,
"H-1020",5.0e-03,"<",7.0e-03,,0.01,,0.31,,0.25,,,
"H-1021",5.0e-03,"<",5.0e-03,"<",0.01,,0.27,,0.23,,,
"H-1022",6.0e-03,,5.0e-03,"<",0.01,"<",0.46,,0.24,,,
"H-1025",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.03,,0.24,,,
"H-1026",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.42,,0.26,,,
"H-1027",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.50,,0.24,,,
"H-1032",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.41,,0.27,,,
"H-1406",0.88,,5.0e-03,"<",0.07,,0.51,,0.20,,,
"H-1407",5.0e-03,"<",5.0e-03,"<",0.03,,0.51,,0.13,,,
"H-1408",5.0e-03,"<",5.0e-03,"<",0.01,,0.50,,0.11,,,
"H-1410",0.03,,0.01,,0.01,"<",0.81,,0.14,,,
"H-1411",0.03,,0.01,,0.01,"<",0.63,,0.77,,,
"H-1412",0.02,,6.0e-03,,0.01,"<",0.72,,0.19,,,
"H-1413",0.01,,5.0e-03,"<",0.01,"<",0.68,,1.18,,,
"H-1414",5.0e-03,"<",5.0e-03,"<",0.01,,1.83,,0.05,"<",,
"H-1416",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.69,,0.05,,,
"H-1986",1.19,,,"N",,"N",,"N",1.40,,,
"H-1988",2.20,,,"N",,"N",,"N",0.95,,,
"H-1989",2.34,,,"N",,"N",,"N",0.73,,,
"H-1990",2.32,,,"N",,"N",,"N",0.69,,,
"H-1992",1.75,,,"N",,"N",,"N",0.56,,,
"H-1993",1.64,,,"N",,"N",,"N",0.40,,,
"H-1994",1.55,,,"N",,"N",,"N",0.45,,,
"H-1995",1.54,,,"N",,"N",,"N",0.48,,,
"H-1996",1.67,,,"N",,"N",,"N",2.56,,,
"H-1997",1.72,,,"N",,"N",,"N",0.51,,,
"H-1998",1.94,,,"N",,"N",,"N",0.99,,,
"H-1999",1.80,,,"N",,"N",,"N",1.12,,,
"H-2000",0.73,,,"N",,"N",,"N",1.69,,,
"H-2001",1.92,,,"N",,"N",,"N",4.27,,,
"H-2002",2.10,,,"N",,"N",,"N",0.53,,,
"H-2005",5.0e-03,"<",5.0e-03,"<",0.03,,1.07,,0.32,,,
"H-2006",5.0e-03,"<",5.0e-03,"<",0.01,,0.73,,0.30,,,
"H-2007",5.0e-03,"<",5.0e-03,"<",0.01,,0.67,,0.28,,,
"H-2677",6.0e-03,,5.0e-03,"<",0.03,,0.30,,0.25,,,
"H-2678",5.0e-03,,5.0e-03,"<",0.02,,0.44,,0.47,,,
"H-2679",5.0e-03,"<",5.0e-03,"<",0.04,,0.70,,0.31,,,
"H-2680",6.0e-03,,5.0e-03,"<",0.02,,0.76,,0.35,,,
"H-2681",8.0e-03,,5.0e-03,"<",0.07,,0.33,,0.30,,,
"H-2682",5.0e-03,,5.0e-03,"<",0.03,,0.70,,0.33,,,
"H-2683",8.0e-03,,7.0e-03,,0.02,,0.79,,0.34,,,
"H-2684",5.0e-03,"<",5.0e-03,"<",0.02,,0.38,,0.43,,,
"H-2685",5.0e-03,"<",8.0e-03,,0.02,,0.80,,0.09,,,
"H-2686",8.0e-03,,5.0e-03,"<",0.01,,0.67,,0.43,,,
"H-2687",5.0e-03,"<",5.0e-03,"<",0.05,,0.30,,0.21,,,
"H-2688",6.0e-03,,5.0e-03,"<",0.02,,0.68,,0.20,,,
"H-2689",0.94,,6.0e-03,,0.19,,0.61,,0.22,,,
"H-2690",0.07,,6.0e-03,,0.14,,0.57,,0.50,,,
"H-2691",0.50,,5.0e-03,"<",0.14,,0.61,,0.18,,,
"H-2692",0.05,,0.02,,0.09,,0.55,,0.34,,,
"H-2693",0.02,,9.0e-03,,0.03,,0.86,,0.30,,,
"H-2694",0.02,,8.0e-03,,0.02,,0.71,,0.31,,,
"H-2695",0.01,,5.0e-03,"<",0.03,,0.37,,0.33,,,
"H-2696",0.01,,5.0e-03,,0.07,,0.43,,0.17,,,
"H-2697",0.01,,8.0e-03,,0.02,,0.65,,0.07,,,
"H-2701",7.0e-03,,5.0e-03,"<",0.07,,0.46,,0.20,,,
"H-2702",0.01,,8.0e-03,,0.02,,0.58,,0.17,,,
"H-2703",0.01,,8.0e-03,,0.05,,0.66,,0.17,,,
"H-2705",0.01,,5.0e-03,"<",0.08,,0.07,,0.07,,,
"H-2706",0.04,,7.0e-03,,0.04,,0.21,,0.14,,,
"H-2707",9.0e-03,,5.0e-03,"<",0.07,,0.04,,0.15,,,
"H-2708",0.01,,7.0e-03,,0.04,,0.34,,0.13,,,
"H-2709",0.01,,8.0e-03,,0.01,,0.51,,0.05,"<",,
"H-2710",0.60,,7.0e-03,,0.05,,0.21,,0.15,,,
"H-2711",0.01,,5.0e-03,"<",0.03,,0.07,,0.20,,,
"H-2713",0.01,,5.0e-03,"<",0.05,,0.18,,0.17,,,
"H-2715",0.01,,0.01,,0.02,,0.64,,0.18,,,
"H-2717",8.0e-03,,5.0e-03,"<",0.04,,0.07,,0.15,,,
"H-2718",7.0e-03,,5.0e-03,"<",0.04,,0.16,,0.17,,,
"H-2719",0.01,,0.01,,0.02,,0.62,,0.16,,,
"H-2722",5.0e-03,"<",5.0e-03,"<",0.03,,0.23,,0.12,,,
"H-2723",5.0e-03,"<",5.0e-03,"<",0.02,,0.26,,0.18,,,
"H-2724",5.0e-03,"<",5.0e-03,"<",0.02,,0.44,,0.14,,,
"H-2725",0.01,,5.0e-03,,0.01,,0.59,,0.25,,,
"H-2728",1.04,,5.0e-03,,0.18,,0.54,,0.64,,,
"H-2729",0.85,,5.0e-03,"<",0.16,,0.55,,0.29,,,
"H-2730",0.01,,8.0e-03,,0.04,,0.40,,0.11,,,
"H-2731",0.01,,5.0e-03,"<",0.03,,0.30,,0.17,,,
"H-3127",,"N",,"N",0.20,"<",0.41,,1.00,"<",,
"H-3129",,"N",,"N",0.20,"<",0.42,,1.00,"<",,
"H-3130",,"N",,"N",0.20,"<",0.20,,1.00,"<",,
"H-3131",,"N",,"N",0.20,"<",0.44,,1.00,"<",,
"H-3132",,"N",,"N",0.20,"<",0.53,,1.00,"<",,
"H-3187",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.50,,0.22,,,
"H-3188",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.54,,0.14,,,
"H-3191",,"N",,"N",0.20,"<",0.40,,1.00,"<",,
"H-3192",,"N",,"N",0.20,"<",0.39,,1.00,"<",,
"H-3242",,"N",,"N",0.20,"<",0.13,,1.00,"<",,
"H-3243",,"N",,"N",0.20,"<",0.35,,1.00,"<",,
"H-3244",,"N",,"N",0.20,"<",0.43,,1.00,"<",,
"H-3486",6.0e-03,,5.0e-03,"<",0.02,,0.11,,0.43,,,
"H-3487",5.0e-03,,5.0e-03,"<",0.02,,0.56,,0.27,,,
"H-3488",0.01,,5.0e-03,"<",0.01,"<",0.63,,0.13,,,
"H-3489",8.0e-03,,6.0e-03,,0.01,"<",0.75,,0.19,,,
"H-3490",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.14,,0.19,,,
"H-3491",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.65,,0.15,,,
"H-3492",7.0e-03,,5.0e-03,"<",0.01,"<",0.76,,0.13,,,
"H-3493",5.0e-03,,5.0e-03,"<",0.01,,0.15,,0.23,,,
"H-3494",0.01,,5.0e-03,"<",0.01,,0.37,,0.14,,,
"H-3495",6.0e-03,,5.0e-03,"<",0.01,"<",0.59,,0.13,,,
"H-3496",0.01,,0.01,,0.01,,0.77,,0.17,,,
"H-3499",8.0e-03,,5.0e-03,"<",0.01,,0.15,,0.20,,,
"H-3500",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.35,,0.13,,,
"H-3501",6.0e-03,,5.0e-03,"<",0.01,"<",0.57,,0.11,,,
"H-3502",0.01,,9.0e-03,,0.01,"<",0.74,,0.14,,,
"H-3503",5.0e-03,"<",5.0e-03,"<",0.02,,0.11,,0.18,,,
"H-3504",5.0e-03,,5.0e-03,"<",0.03,,0.36,,0.21,,,
"H-3505",7.0e-03,,5.0e-03,"<",0.01,"<",0.59,,0.13,,,
"H-3506",0.02,,0.01,,0.01,"<",0.63,,0.13,,,
"H-3508",6.0e-03,,5.0e-03,"<",0.01,,0.11,,0.17,,,
"H-3509",6.0e-03,,5.0e-03,"<",0.03,,0.37,,0.13,,,
"H-3510",0.01,,5.0e-03,,0.01,"<",0.58,,0.13,,,
"H-3511",0.01,,0.01,,0.02,,0.74,,0.17,,,
"H-3513",0.02,,5.0e-03,"<",0.01,,0.14,,0.12,,,
"H-3514",0.03,,5.0e-03,"<",0.02,,0.12,,0.11,,,
"H-3515",0.01,,5.0e-03,"<",0.02,,0.05,,0.17,,,
"H-3516",0.02,,5.0e-03,"<",0.02,,0.32,,0.13,,,
"H-3517",0.03,,0.01,,0.02,,0.36,,0.07,,,
"H-3518",0.02,,0.01,,0.01,,0.75,,0.10,,,
"H-3519",0.02,,5.0e-03,"<",0.02,,0.10,,0.11,,,
"H-3520",0.02,,0.01,,0.01,,0.38,,0.16,,,
"H-3521",0.01,,0.01,,0.01,,0.75,,0.16,,,
"H-3523",6.0e-03,,5.0e-03,"<",0.01,,0.25,,0.10,,,
"H-3524",0.02,,0.01,,0.02,,0.50,,0.06,,,
"H-3525",0.01,,0.01,,0.01,"<",0.87,,0.13,,,
"H-3527",0.01,,5.0e-03,"<",0.01,,0.12,,0.06,,,
"H-3528",5.0e-03,"<",5.0e-03,"<",0.03,,0.34,,0.12,,,
"H-3529",0.01,,9.0e-03,,0.01,,0.72,,0.06,,,
"H-3530",0.01,,0.01,,0.01,"<",0.82,,0.12,,,
"H-3532",5.0e-03,"<",5.0e-03,"<",0.02,,0.13,,0.04,"<",,
"H-3533",5.0e-03,"<",5.0e-03,"<",0.04,,0.29,,0.11,,,
"H-3534",0.02,,0.01,,0.01,"<",0.68,,0.15,,,
"H-3536",5.0e-03,"<",5.0e-03,"<",0.01,,0.11,,0.08,,,
"H-3537",5.0e-03,"<",5.0e-03,"<",0.03,,0.25,,0.17,,,
"H-3538",0.01,,0.01,,0.01,"<",0.43,,0.09,,,
"H-3539",0.02,,0.01,,0.01,,0.71,,0.11,,,
"H-3543",5.0e-03,,5.0e-03,"<",0.01,,0.68,,0.11,,,
"H-3544",6.0e-03,,5.0e-03,"<",0.01,"<",0.71,,0.12,,,
"H-4184",6.0e-03,,5.0e-03,"<",0.01,,0.11,,0.24,,,
"H-4185",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.57,,0.26,,,
"H-4186",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.66,,0.14,,,
"H-4187",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.77,,0.14,,,
"H-4188",9.0e-03,,5.0e-03,"<",0.01,,0.18,,0.15,,,
"H-4190",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.55,,0.17,,,
"H-4191",5.0e-03,"<",5.0e-03,"<",0.01,,0.66,,0.20,,,
"H-4192",0.01,,7.0e-03,,0.01,"<",0.78,,0.19,,,
"H-4193",5.0e-03,"<",5.0e-03,"<",0.02,,0.18,,0.17,,,
"H-4194",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.51,,0.11,,,
"H-4195",7.0e-03,,5.0e-03,"<",0.01,"<",0.62,,0.12,,,
"H-4196",0.01,,0.01,,0.01,"<",0.79,,0.12,,,
"H-4197",0.03,,5.0e-03,"<",0.02,,0.43,,0.32,,,
"H-4198",8.0e-03,,5.0e-03,"<",0.02,,0.32,,0.21,,,
"H-4199",0.01,,5.0e-03,"<",0.04,,0.39,,0.30,,,
"H-4200",0.04,,0.01,,0.01,,0.57,,0.21,,,
"H-4201",0.01,,5.0e-03,"<",0.01,,0.31,,0.17,,,
"H-4202",0.01,,5.0e-03,"<",0.01,,0.41,,0.21,,,
"H-4203",0.02,,0.01,,0.01,"<",0.80,,0.15,,,
"H-4204",6.0e-03,,5.0e-03,"<",0.01,"<",0.31,,0.16,,,
"H-4205",0.01,,5.0e-03,"<",0.01,"<",0.56,,0.12,,,
"H-4206",0.02,,0.01,,0.01,,0.55,,0.08,,,
"H-4207",0.02,,0.01,,0.01,"<",0.91,,0.09,,,
"H-4210",5.0e-03,,5.0e-03,"<",0.02,,0.28,,0.12,,,
"H-4211",5.0e-03,"<",5.0e-03,"<",0.01,,0.53,,0.08,,,
"H-4212",0.01,,0.01,,0.01,"<",0.86,,0.08,,,
