"Lab.Nut","TP","TP_flg","SRP","SRP_flg","NH3-N","NH3-N_flg","NO23-N","NO23-N_flg","TKN","TKN_flg","TN","TN_flg"
"051275",7.0e-03,,3.0e-03,,0.01,,1.03,,0.27,,,
"051276",0.01,,2.0e-03,,3.0e-03,"<",0.31,,0.29,,,
"051277",0.01,,2.0e-03,,3.0e-03,,0.62,,0.26,,,
"051278",0.06,,1.0e-03,,0.01,,0.31,,0.24,,,
"051279",0.01,,1.0e-03,"<",3.0e-03,"<",0.67,,0.29,,,
"051280",0.04,,1.0e-03,"<",0.06,,0.12,,0.36,,,
"051281",0.06,,1.0e-03,,0.10,,0.18,,0.20,,,
"051282",0.01,,1.0e-03,,0.05,,0.20,,0.26,,,
"051285",0.07,,1.0e-03,,3.0e-03,"<",0.40,,0.21,,,
"051286",0.93,,1.0e-03,,3.0e-03,"<",0.21,,0.64,,,
"051287",1.10,,3.0e-03,,3.0e-03,"<",0.12,,0.84,,,
"051288",1.53,,1.0e-03,"<",3.0e-03,"<",0.34,,0.63,,,
"051289",0.01,,1.0e-03,"<",6.0e-03,,0.23,,0.47,,,
"051290",7.0e-03,,1.0e-03,"<",0.01,,0.20,,0.43,,,
"051291",0.03,,1.0e-03,"<",3.0e-03,"<",0.14,,0.52,,,
"051292",0.59,,5.0e-03,,3.0e-03,"<",0.13,,0.39,,,
"051709",0.01,,3.0e-03,,3.0e-03,"<",0.20,,0.20,,,
"051710",0.01,,3.0e-03,,0.01,,0.21,,0.22,,,
"051711",4.0e-03,,4.0e-03,,0.02,,0.21,,0.20,,,
"051712",0.01,,1.0e-03,,0.01,,0.27,,0.15,,,
"051713",3.0e-03,"<",1.0e-03,"<",0.01,,0.16,,0.16,,,
"051714",8.0e-03,,3.0e-03,,0.10,,0.17,,0.29,,,
"051715",5.0e-03,,3.0e-03,,0.09,,0.19,,0.23,,,
"052021",0.02,,3.0e-03,,5.0e-03,,0.11,,0.19,,,
"052022",0.01,,3.0e-03,,6.0e-03,,0.44,,0.21,,,
"052023",0.01,,2.0e-03,,0.01,,0.39,,0.20,,,
"052024",0.01,,1.0e-03,,2.0e-03,,0.44,,0.25,,,
"052025",0.01,,-1.0e-03,,0.00,,0.33,,0.29,,,
"052026",7.0e-03,,9.0e-03,,2.0e-03,,0.31,,0.20,,,
"052538",3.0e-03,"<",2.0e-03,,7.0e-03,,0.55,,0.23,,,
"052539",3.0e-03,"<",1.0e-03,"<",3.0e-03,,0.10,,0.21,,,
"052540",3.0e-03,"<",1.0e-03,"<",3.0e-03,,0.51,,0.14,,,
"052541",3.0e-03,"<",1.0e-03,"<",0.01,,0.52,,0.20,,,
"052542",3.0e-03,"<",1.0e-03,"<",0.01,,0.59,,0.18,,,
"052543",3.0e-03,"<",2.0e-03,,0.02,,0.47,,0.19,,,
"052544",3.0e-03,"<",1.0e-03,,0.28,,0.10,,0.23,,,
"052545",3.0e-03,"<",1.0e-03,"<",1.0e-03,,0.52,,0.13,,,
"052546",3.0e-03,"<",3.0e-03,,3.0e-03,"<",0.54,,0.11,,,
"052547",3.0e-03,,1.0e-03,"<",3.0e-03,,0.60,,0.03,,,
"052548",3.0e-03,,1.0e-03,"<",3.0e-03,"<",0.04,,0.08,,,
"052549",4.0e-03,,1.0e-03,"<",3.0e-03,,0.38,,0.08,,,
"052550",4.0e-03,,1.0e-03,"<",3.0e-03,"<",0.58,,0.14,,,
"052551",4.0e-03,,4.0e-03,,0.12,,0.57,,0.18,,,
"052554",3.0e-03,"<",1.0e-03,"<",0.06,,0.62,,1.06,,,
"052555",0.38,,2.0e-03,,0.03,,0.62,,1.36,,,
"052556",3.0e-03,"<",1.0e-03,"<",8.0e-03,,0.05,,0.11,,,
"052557",3.0e-03,"<",2.0e-03,,0.01,,0.36,,0.62,,,
"052558",3.0e-03,"<",1.0e-03,,4.0e-03,,0.07,,0.24,,,
"052559",3.0e-03,"<",1.0e-03,"<",6.0e-03,,0.39,,0.17,,,
"052560",3.0e-03,"<",2.0e-03,,3.0e-03,,0.70,,0.21,,,
"052561",1.85,,1.0e-03,"<",0.06,,1.33,,1.95,,,
"052562",10.92,,2.0e-03,,0.07,,1.23,,7.53,,,
"052563",0.03,,1.0e-03,"<",0.01,,0.14,,0.32,,,
"052564",0.04,,1.0e-03,"<",0.04,,0.74,,0.68,,,
"052565",5.0e-03,,2.0e-03,,9.0e-03,,0.22,,0.23,,,
"052566",4.0e-03,,2.0e-03,,0.02,,0.54,,0.21,,,
"052567",3.0e-03,"<",1.0e-03,"<",7.0e-03,,0.63,,0.34,,,
"052568",3.0e-03,"<",1.0e-03,"<",3.0e-03,"<",0.10,,0.24,,,
"052569",3.0e-03,"<",1.0e-03,"<",4.0e-03,,0.53,,0.20,,,
"052570",0.28,,4.0e-03,,4.0e-03,,0.59,,0.26,,,
"052571",3.0e-03,"<",1.0e-03,"<",6.0e-03,,0.59,,0.29,,,
"052577",3.0e-03,"<",1.0e-03,"<",0.01,,0.06,,0.32,,,
