"Lab.Maj","Cond","pH","TSS","TSS_flg","TDS","TDS_flg","Ca","Ca_flg","Mg","Mg_flg","Na","Na_flg","K","K_flg","CO3","CO3_flg","HCO3","HCO3_flg","Alkalinity","Alkalinity_flg","Cl","Cl_flg","SO4","SO4_flg","SiO2","SiO2_flg","Fe","Fe_flg"
"B-12478",888.00,7.90,,,591.00,,72.14,,27.22,,80.00,,3.51,,0.00,,162.91,,,,56.37,,232.95,,,,,
"B-12479",941.00,8.20,,,628.00,,74.94,,27.22,,86.44,,3.91,,0.00,,172.07,,,,61.33,,249.29,,,,,
"B-1248",778.00,8.10,,,534.00,,68.73,,17.98,,66.21,,3.12,,0.00,,145.83,,,,40.42,,208.46,,,,,
"B-12480",971.00,8.00,,,656.00,,77.75,,27.46,,89.66,,3.91,,0.00,,175.12,,,,63.46,,257.45,,,,,
"B-12481",780.00,8.20,,,510.00,,59.71,,23.81,,69.42,,3.51,,0.00,,136.68,,,,45.73,,213.74,,,,,
"B-12482",778.00,8.20,,,509.00,,59.31,,23.81,,70.34,,3.91,,0.00,,136.68,,,,45.73,,219.99,,,,,
"B-12483",827.00,7.80,,,545.00,,66.93,,24.30,,73.10,,3.51,,0.00,,157.42,,,,49.28,,214.70,,,,,
"B-12484",783.00,7.70,,,541.00,,65.32,,22.11,,67.13,,3.51,,0.00,,152.54,,,,42.54,,213.74,,,,,
"B-12485",858.00,7.90,,,601.00,,71.33,,24.06,,75.86,,3.91,,0.00,,158.03,,,,47.15,,245.44,,,,,
"B-12486",950.00,8.30,,,670.00,,78.55,,26.97,,86.90,,3.91,,6.90,,151.93,,,,61.33,,269.94,,,,,
"B-12487",941.00,8.40,,,660.00,,76.95,,26.73,,85.98,,3.91,,18.00,,134.85,,,,60.62,,269.94,,,,,
"B-12488",958.00,7.90,,,667.00,,76.95,,26.73,,86.44,,3.91,,0.00,,172.68,,,,62.04,,268.98,,,,,
"B-12489",954.00,8.00,,,666.00,,77.35,,26.73,,86.90,,3.91,,0.00,,173.29,,,,68.42,,264.66,,,,,
"B-1249",784.00,8.20,,,534.00,,70.73,,16.64,,66.21,,3.12,,0.00,,140.95,,,,41.83,,209.90,,,,,
"B-12490",953.00,8.00,,,670.00,,76.95,,26.73,,85.98,,3.91,,0.00,,176.34,,,,58.50,,257.45,,,,,
"B-12491",785.00,8.20,,,530.00,,58.51,,23.33,,70.34,,3.51,,0.00,,137.29,,,,49.28,,222.87,,,,,
"B-12492",782.00,8.20,,,526.00,,58.11,,23.09,,70.80,,3.51,,0.00,,139.12,,,,47.86,,223.83,,,,,
"B-12493",796.00,8.30,,,541.00,,64.92,,22.84,,68.96,,3.51,,8.10,,137.29,,,,46.44,,215.66,,,,,
"B-12494",778.00,8.40,,,534.00,,64.92,,21.87,,68.05,,3.51,,6.90,,139.73,,,,46.44,,220.95,,,,,
"B-12495",868.00,8.00,,,592.00,,72.54,,24.30,,75.86,,3.51,,0.00,,160.47,,,,48.57,,249.29,,,,,
"B-12496",968.00,7.90,,,660.00,,78.55,,26.97,,87.82,,3.91,,0.00,,173.90,,,,62.04,,268.98,,,,,
"B-12497",963.00,8.40,,,667.00,,79.35,,26.97,,86.44,,3.91,,12.00,,150.10,,,,61.33,,273.78,,,,,
"B-12498",965.00,8.00,,,670.00,,79.35,,26.97,,87.82,,3.91,,0.00,,173.90,,,,62.04,,274.74,,,,,
"B-12499",979.00,8.00,,,675.00,,80.95,,26.97,,87.36,,3.91,,0.00,,175.12,,,,61.33,,278.10,,,,,
"B-1250",690.00,8.30,,,465.00,,59.11,,17.50,,56.09,,2.73,,2.70,,126.30,,,,37.58,,176.76,,,,,
"B-12500",973.00,8.00,,,673.00,,80.95,,26.97,,88.28,,3.91,,0.00,,172.68,,,,65.59,,280.03,,,,,
"B-12501",979.00,7.90,,,679.00,,81.35,,26.73,,88.74,,3.91,,0.00,,175.12,,,,57.79,,274.74,,,,,
"B-12502",889.00,7.90,,,606.00,,73.34,,24.79,,79.08,,3.91,,0.00,,162.91,,,,52.82,,250.25,,,,,
"B-1251",784.00,8.40,,,543.00,,72.14,,15.06,,68.96,,3.51,,6.60,,119.59,,,,43.25,,217.10,,,,,
