"Lab.Maj","Cond","pH","TSS","TSS_flg","TDS","TDS_flg","Ca","Ca_flg","Mg","Mg_flg","Na","Na_flg","K","K_flg","CO3","CO3_flg","HCO3","HCO3_flg","Alkalinity","Alkalinity_flg","Cl","Cl_flg","SO4","SO4_flg","SiO2","SiO2_flg","Fe","Fe_flg"
"23049",836.00,8.10,,,551.00,,67.33,,25.76,,78.16,,3.91,,0.00,,150.10,,,,48.92,,235.84,,,,,
"23050",787.00,7.80,,,521.00,,67.33,,22.36,,68.96,,3.51,,0.00,,154.37,,,,41.83,,219.99,,,,,
"23051",800.00,7.80,,,524.00,,68.13,,22.36,,70.80,,3.51,,0.00,,155.59,,,,46.09,,229.59,,,,,
"23052",863.00,7.80,,,566.00,,72.14,,24.30,,80.92,,3.91,,0.00,,161.69,,,,48.92,,233.91,,,,,
"23053",936.00,8.40,,,635.00,,77.75,,26.24,,91.03,,4.30,,12.00,,142.78,,,,60.98,,255.53,,,,,
"23054",912.00,7.70,,,612.00,,75.14,,24.91,,85.06,,4.30,,0.00,,164.14,,,,58.14,,254.57,,,,,
"23055",958.00,7.80,,,639.00,,79.15,,26.12,,91.95,,4.30,,0.00,,172.68,,,,66.65,,269.94,,,,,
"23056",956.00,7.80,,,639.00,,77.15,,26.73,,93.10,,4.30,,0.00,,187.32,,,,63.11,,254.57,,,,,
"23057",822.00,7.90,,,551.00,,66.12,,24.30,,78.16,,3.91,,0.00,,141.56,,,,34.74,,257.45,,,,,
"23058",823.00,8.10,,,559.00,,65.12,,23.69,,79.31,,4.30,,0.00,,139.12,,,,38.29,,259.85,,,,,
"23059",759.00,7.70,,,516.00,,68.13,,21.26,,67.82,,3.51,,0.00,,146.44,,,,32.62,,231.99,,,,,
"23060",756.00,7.70,,,522.00,,70.13,,21.26,,66.67,,3.51,,0.00,,146.44,,,,26.23,,232.47,,,,,
"23061",883.00,7.80,,,604.00,,77.15,,23.69,,83.91,,4.30,,0.00,,161.69,,,,46.09,,262.25,,,,,
"23062",938.00,8.20,,,635.00,,76.14,,25.52,,91.95,,4.30,,0.00,,170.24,,,,60.27,,272.34,,,,,
"23063",947.00,7.80,,,635.00,,77.15,,26.73,,90.81,,4.30,,0.00,,171.46,,,,63.11,,269.94,,,,,
"23064",859.00,7.90,,,562.00,,66.12,,25.52,,80.46,,4.30,,0.00,,148.88,,,,51.76,,249.77,,,,,
"23065",866.00,8.00,,,582.00,,67.13,,26.12,,82.76,,4.30,,0.00,,153.15,,,,51.05,,249.77,,,,,
"23066",772.00,7.80,,,508.00,,64.12,,23.09,,68.96,,3.91,,0.00,,155.59,,,,40.42,,222.39,,,,,
"23067",792.00,7.70,,,525.00,,65.12,,23.69,,72.41,,3.91,,0.00,,159.25,,,,45.38,,209.90,,,,,
"23068",908.00,7.60,,,606.00,,74.14,,26.12,,85.06,,3.91,,0.00,,169.02,,,,59.56,,254.57,,,,,
"23069",924.00,7.80,,,617.00,,73.14,,26.73,,87.36,,4.30,,0.00,,170.24,,,,63.11,,257.45,,,,,
"23070",947.00,7.70,,,641.00,,74.54,,27.22,,89.20,,3.91,,0.00,,171.46,,,,65.94,,255.53,,,,,
"23071",952.00,7.60,,,642.00,,74.54,,26.73,,91.03,,6.25,,0.00,,171.46,,,,64.52,,257.93,,,,,
"23072",965.00,7.90,,,664.00,,73.74,,28.19,,91.95,,4.69,,0.00,,155.59,,,,63.11,,289.63,,,,,
"23073",979.00,7.90,,,661.00,,74.54,,29.16,,93.79,,7.42,,0.00,,154.37,,,,65.23,,285.79,,,,,
"23074",819.00,7.70,,,537.00,,66.52,,23.81,,74.48,,3.91,,0.00,,158.03,,,,46.09,,223.83,,,,,
"23075",856.00,7.80,,,576.00,,68.13,,24.79,,77.24,,3.91,,0.00,,161.69,,,,51.76,,235.84,,,,,
"23076",924.00,7.90,,,626.00,,70.53,,26.24,,91.03,,5.47,,0.00,,169.02,,,,63.11,,249.77,,,,,
"23077",969.00,8.30,,,654.00,,72.94,,28.19,,93.79,,4.30,,0.00,,175.12,,,,69.49,,263.69,,,,,
"23078",988.00,7.70,,,671.00,,76.95,,27.70,,94.71,,3.91,,0.00,,184.88,,,,71.61,,261.77,,,,,
"23079",1200.00,8.00,,,861.00,,99.39,,34.99,,116.78,,8.21,,0.00,,164.14,,,,80.83,,383.77,,,,,
"23080",1200.00,8.00,,,853.00,,97.79,,34.51,,114.02,,6.25,,0.00,,169.02,,,,78.70,,383.77,,,,,
"23081",1070.00,8.30,,,740.00,,89.77,,28.68,,100.23,,5.08,,0.00,,170.24,,,,70.20,,315.57,,,,,
"23082",1000.00,7.80,,,669.00,,77.75,,27.70,,94.71,,4.69,,0.00,,172.68,,,,65.23,,283.87,,,,,
"23083",1050.00,7.60,,,727.00,,84.96,,28.68,,100.23,,5.47,,0.00,,176.34,,,,70.20,,299.72,,,,,
"23084",808.00,8.10,,,537.00,,57.71,,24.79,,77.24,,5.47,,0.00,,145.22,,,,49.63,,233.91,,,,,
"23085",812.00,8.00,,,548.00,,58.11,,25.52,,75.86,,4.30,,0.00,,145.22,,,,48.22,,227.19,,,,,
"23086",817.00,8.00,,,544.00,,62.12,,23.69,,73.56,,3.91,,0.00,,156.81,,,,47.51,,224.79,,,,,
"23087",804.00,8.30,,,538.00,,64.12,,23.69,,72.41,,3.91,,0.00,,156.81,,,,41.83,,227.19,,,,,
"23088",922.00,7.50,,,609.00,,70.13,,27.34,,86.21,,4.30,,0.00,,169.02,,,,61.69,,252.17,,,,,
"23089",980.00,7.80,,,565.00,,75.14,,28.55,,91.95,,4.30,,0.00,,176.34,,,,68.07,,269.46,,,,,
"23090",984.00,7.80,,,659.00,,75.14,,27.95,,91.95,,4.69,,0.00,,175.12,,,,67.36,,272.34,,,,,
"23091",984.00,7.80,,,657.00,,74.14,,28.55,,90.81,,4.30,,0.00,,173.90,,,,65.94,,254.57,,,,,
"23092",970.00,7.80,,,644.00,,72.14,,27.34,,91.95,,4.69,,0.00,,172.68,,,,64.52,,262.25,,,,,
"23093",979.00,7.80,,,655.00,,75.14,,27.95,,90.81,,4.30,,0.00,,173.90,,,,68.07,,267.06,,,,,
"23094",974.00,7.90,,,642.00,,75.14,,27.95,,91.95,,4.30,,0.00,,173.90,,,,67.36,,257.45,,,,,
"23095",886.00,7.90,,,598.00,,68.13,,25.52,,81.61,,4.30,,0.00,,166.58,,,,53.89,,244.96,,,,,
"23096",361.00,8.10,,,217.00,,36.07,,13.97,,6.89,,2.73,,0.00,,84.81,,,,26.94,,59.08,,,,,
"24169",833.00,8.30,,,538.00,,61.72,,27.22,,76.32,,3.91,,7.20,,134.85,,,,48.92,,229.59,,,,,
"24170",817.00,8.40,,,540.00,,63.32,,26.24,,73.56,,3.91,,3.30,,140.95,,,,48.22,,233.91,,,,,
"24171",806.00,8.40,,,534.00,,64.12,,25.76,,73.56,,3.91,,5.40,,140.34,,,,46.80,,225.75,,,,,
"24172",789.00,7.90,,,514.00,,66.52,,24.30,,68.96,,3.51,,0.00,,153.76,,,,41.83,,221.91,,,,,
"24173",853.00,8.50,,,571.00,,69.73,,26.24,,76.32,,3.91,,12.60,,134.85,,,,50.34,,233.91,,,,,
"24174",940.00,8.40,,,623.00,,76.95,,28.68,,86.44,,3.91,,10.20,,148.88,,,,61.69,,257.93,,,,,
"24175",954.00,8.40,,,640.00,,77.75,,29.16,,88.28,,3.91,,10.20,,148.88,,,,65.94,,259.85,,,,,
"24176",976.00,8.00,,,639.00,,76.95,,29.65,,91.03,,3.91,,0.00,,172.07,,,,66.65,,269.94,,,,,
"24177",965.00,8.40,,,643.00,,77.75,,29.16,,91.03,,3.91,,9.30,,152.54,,,,66.65,,265.62,,,,,
"24178",1030.00,8.40,,,645.00,,78.55,,29.65,,90.12,,3.91,,8.10,,154.98,,,,65.23,,261.77,,,,,
"24179",853.00,8.30,,,570.00,,66.52,,27.22,,79.08,,3.91,,3.00,,149.49,,,,49.63,,241.60,,,,,
"24180",849.00,8.30,,,567.00,,68.13,,26.73,,78.16,,3.91,,6.90,,139.12,,,,49.63,,244.00,,,,,
"24181",812.00,8.00,,,539.00,,67.33,,25.76,,72.64,,3.91,,0.00,,153.76,,,,46.09,,233.91,,,,,
"24182",791.00,8.60,,,522.00,,68.93,,23.81,,68.96,,3.51,,9.90,,131.80,,,,37.58,,231.99,,,,,
"24183",856.00,8.10,,,568.00,,70.53,,26.73,,76.32,,3.91,,0.00,,161.08,,,,51.76,,239.68,,,,,
"24184",930.00,8.40,,,620.00,,76.95,,28.19,,86.44,,3.91,,12.60,,140.95,,,,59.56,,249.77,,,,,
"24185",941.00,8.40,,,631.00,,77.75,,27.70,,90.12,,3.91,,8.10,,154.98,,,,64.52,,255.53,,,,,
"24186",981.00,8.40,,,641.00,,77.75,,28.68,,87.36,,3.91,,10.20,,149.49,,,,65.23,,259.85,,,,,
"24187",964.00,8.50,,,642.00,,78.55,,29.16,,91.95,,3.91,,12.00,,148.27,,,,66.65,,263.69,,,,,
"24188",867.00,8.00,,,581.00,,72.94,,24.30,,79.08,,4.30,,0.00,,145.83,,,,34.74,,269.94,,,,,
"24189",853.00,8.40,,,578.00,,72.94,,24.30,,80.92,,3.91,,6.90,,130.58,,,,34.74,,275.70,,,,,
"24190",791.00,8.30,,,528.00,,64.92,,22.84,,66.21,,3.51,,10.20,,130.58,,,,39.71,,219.99,,,,,
"24191",792.00,7.80,,,542.00,,71.33,,20.90,,64.37,,3.51,,0.00,,151.32,,,,27.65,,245.92,,,,,
"24192",881.00,8.50,,,591.00,,76.95,,23.81,,78.16,,3.91,,14.40,,133.02,,,,42.54,,261.77,,,,,
"24193",955.00,7.90,,,638.00,,76.14,,25.76,,81.84,,3.91,,0.00,,170.85,,,,60.98,,255.53,,,,,
"24194",978.00,7.60,,,647.00,,81.75,,25.76,,83.68,,4.30,,0.00,,184.88,,,,63.81,,261.77,,,,,
"24195",882.00,8.00,,,587.00,,67.33,,26.24,,76.32,,3.91,,0.00,,156.20,,,,54.60,,245.92,,,,,
"24196",877.00,8.30,,,580.00,,68.13,,25.76,,75.40,,4.30,,8.70,,139.73,,,,53.18,,244.00,,,,,
"24197",819.00,7.90,,,545.00,,66.52,,23.81,,72.64,,3.51,,0.00,,158.64,,,,48.92,,231.99,,,,,
"24198",777.00,8.40,,,510.00,,65.72,,24.79,,68.96,,3.51,,12.60,,135.46,,,,51.05,,205.58,,,,,
"24199",884.00,8.50,,,586.00,,71.33,,25.27,,76.32,,3.91,,12.00,,144.00,,,,48.22,,239.68,,,,,
"24200",924.00,8.40,,,626.00,,72.14,,25.76,,83.68,,3.91,,9.60,,151.32,,,,63.11,,244.00,,,,,
"24201",950.00,7.90,,,635.00,,74.54,,26.24,,86.44,,3.91,,0.00,,172.68,,,,66.65,,255.53,,,,,
"24202",945.00,7.80,,,624.00,,73.74,,26.73,,88.28,,3.91,,0.00,,169.63,,,,66.65,,255.53,,,,,
"24203",1080.00,8.40,,,741.00,,86.56,,30.62,,97.47,,4.69,,12.00,,141.56,,,,70.20,,323.73,,,,,
"24204",1060.00,8.20,,,723.00,,84.96,,31.11,,96.55,,4.69,,0.00,,164.75,,,,68.78,,319.89,,,,,
"24205",988.00,8.40,,,683.00,,80.15,,28.68,,91.03,,4.69,,8.10,,147.66,,,,66.65,,295.88,,,,,
"24206",836.00,8.50,,,562.00,,68.93,,23.81,,72.64,,3.91,,10.80,,139.12,,,,51.05,,227.67,,,,,
"24207",928.00,8.40,,,620.00,,71.33,,25.76,,85.52,,3.91,,7.80,,153.15,,,,63.11,,253.61,,,,,
"24208",977.00,7.90,,,652.00,,74.54,,27.22,,91.03,,4.30,,0.00,,175.73,,,,70.20,,259.85,,,,,
"24209",977.00,7.80,,,651.00,,76.14,,26.73,,91.03,,3.91,,0.00,,178.17,,,,69.49,,259.85,,,,,
"24210",1270.00,8.30,,,917.00,,109.81,,35.48,,116.78,,5.47,,7.50,,164.75,,,,90.05,,399.62,,,,,
"24211",1260.00,8.30,,,906.00,,102.60,,35.97,,118.62,,5.86,,9.00,,144.61,,,,87.21,,399.62,,,,,
"24212",1310.00,8.40,,,931.00,,110.61,,37.43,,124.14,,5.47,,10.50,,169.63,,,,97.14,,399.62,,,,,
"24213",1190.00,7.80,,,845.00,,99.39,,34.02,,114.94,,5.08,,0.00,,188.54,,,,87.92,,355.44,,,,,
"24214",1460.00,7.90,,,1040.00,,118.63,,40.83,,145.29,,5.86,,0.00,,206.24,,,,121.96,,435.65,,,,,
"24215",820.00,8.10,,,548.00,,61.72,,23.81,,74.48,,3.91,,0.00,,149.49,,,,47.51,,229.59,,,,,
"24216",816.00,8.10,,,538.00,,64.12,,24.79,,74.48,,4.30,,0.00,,149.49,,,,49.63,,239.68,,,,,
"24217",822.00,8.40,,,543.00,,64.92,,24.30,,75.40,,3.91,,6.90,,136.07,,,,48.22,,233.91,,,,,
"24218",789.00,8.40,,,529.00,,64.92,,22.36,,68.96,,3.91,,6.90,,139.12,,,,44.67,,219.99,,,,,
"24219",844.00,8.00,,,569.00,,68.93,,23.81,,75.40,,3.51,,0.00,,159.25,,,,50.34,,235.84,,,,,
"24220",945.00,7.80,,,628.00,,75.34,,28.19,,87.36,,3.91,,0.00,,173.90,,,,63.81,,259.85,,,,,
"24221",942.00,8.40,,,642.00,,76.95,,27.70,,86.44,,3.91,,10.20,,152.54,,,,65.23,,259.85,,,,,
"24222",955.00,8.50,,,657.00,,76.95,,28.68,,89.20,,3.91,,16.20,,144.61,,,,67.36,,263.69,,,,,
"24223",953.00,7.90,,,658.00,,77.75,,28.19,,87.36,,4.30,,0.00,,173.90,,,,65.23,,259.85,,,,,
"24224",953.00,8.40,,,656.00,,79.35,,29.65,,89.20,,3.91,,12.00,,148.88,,,,67.36,,261.77,,,,,
"24225",963.00,7.90,,,657.00,,78.55,,29.16,,87.36,,3.91,,0.00,,175.73,,,,67.36,,271.86,,,,,
"24226",869.00,8.30,,,578.00,,70.53,,24.79,,77.24,,3.91,,9.60,,139.73,,,,51.05,,237.76,,,,,
"24227",353.00,8.20,,,230.00,,36.87,,13.61,,6.43,,2.73,,0.00,,85.42,,,,27.65,,58.60,,,,,
"24683",811.00,8.10,,,548.00,,65.12,,24.30,,71.72,,3.91,,0.00,,153.76,,,,46.09,,219.99,,,,,
"24684",808.00,8.10,,,539.00,,64.12,,24.30,,70.80,,3.91,,0.00,,156.20,,,,46.09,,219.99,,,,,
"24685",825.00,8.20,,,535.00,,64.92,,23.81,,71.72,,3.91,,0.00,,154.98,,,,47.51,,225.75,,,,,
"24686",828.00,7.90,,,558.00,,68.93,,23.81,,72.64,,3.91,,0.00,,162.30,,,,46.09,,223.83,,,,,
"24687",925.00,8.00,,,619.00,,74.54,,26.24,,79.08,,3.91,,0.00,,168.41,,,,58.85,,244.00,,,,,
"24688",948.00,8.00,,,630.00,,75.34,,26.73,,84.60,,4.30,,0.00,,170.85,,,,60.98,,253.61,,,,,
"24689",966.00,7.90,,,640.00,,77.75,,27.22,,87.36,,3.91,,0.00,,175.73,,,,65.23,,259.85,,,,,
"24690",971.00,7.90,,,652.00,,76.14,,27.70,,89.20,,4.30,,0.00,,175.73,,,,69.49,,261.77,,,,,
"24691",971.00,7.80,,,651.00,,78.55,,28.19,,87.36,,3.91,,0.00,,175.73,,,,69.49,,259.85,,,,,
"24692",966.00,7.90,,,648.00,,78.55,,27.70,,88.28,,3.91,,0.00,,175.73,,,,65.23,,259.85,,,,,
"24693",836.00,8.00,,,556.00,,66.52,,24.79,,73.56,,3.91,,0.00,,156.20,,,,45.38,,237.76,,,,,
"24694",832.00,8.00,,,553.00,,65.72,,23.81,,72.64,,3.91,,0.00,,156.20,,,,44.67,,231.99,,,,,
"24695",836.00,8.00,,,558.00,,66.52,,24.30,,73.56,,3.91,,0.00,,156.20,,,,49.63,,229.59,,,,,
"24696",842.00,8.20,,,563.00,,71.33,,23.81,,73.56,,3.91,,0.00,,161.08,,,,42.54,,239.68,,,,,
"24697",910.00,7.50,,,605.00,,70.53,,25.76,,84.60,,3.51,,0.00,,164.75,,,,59.56,,239.68,,,,,
"24698",936.00,7.70,,,626.00,,73.74,,27.22,,90.12,,3.51,,0.00,,169.63,,,,63.46,,249.77,,,,,
"24699",959.00,7.80,,,643.00,,74.54,,26.73,,91.03,,3.91,,0.00,,170.85,,,,65.23,,253.61,,,,,
"24700",961.00,7.80,,,645.00,,76.95,,26.24,,90.12,,3.91,,0.00,,173.29,,,,64.52,,259.37,,,,,
"24701",963.00,7.80,,,650.00,,76.95,,26.73,,89.20,,3.91,,0.00,,170.85,,,,70.20,,255.53,,,,,
"24702",860.00,7.80,,,577.00,,70.53,,22.84,,76.32,,3.91,,0.00,,151.32,,,,37.58,,259.37,,,,,
"24703",849.00,8.00,,,567.00,,69.73,,22.84,,75.40,,3.51,,0.00,,150.10,,,,39.00,,259.37,,,,,
"24704",846.00,7.80,,,576.00,,70.53,,23.33,,76.32,,3.91,,0.00,,150.10,,,,32.62,,259.37,,,,,
"24705",843.00,7.80,,,571.00,,74.54,,21.38,,73.56,,3.51,,0.00,,157.42,,,,34.03,,259.37,,,,,
"24706",886.00,7.80,,,599.00,,76.14,,23.81,,81.84,,3.91,,0.00,,162.30,,,,43.25,,259.37,,,,,
"24707",949.00,8.00,,,645.00,,76.95,,25.76,,89.20,,3.91,,0.00,,169.63,,,,66.65,,257.93,,,,,
"24708",954.00,7.80,,,560.00,,76.95,,26.24,,88.28,,3.91,,0.00,,172.07,,,,68.07,,261.77,,,,,
"24709",823.00,7.70,,,555.00,,66.52,,24.30,,74.48,,3.91,,0.00,,151.32,,,,46.80,,225.75,,,,,
"24710",825.00,7.70,,,556.00,,67.33,,24.30,,75.40,,3.91,,0.00,,154.98,,,,46.09,,233.91,,,,,
"24711",830.00,7.80,,,558.00,,65.72,,24.30,,76.32,,3.91,,0.00,,150.10,,,,46.09,,237.76,,,,,
"24712",840.00,7.70,,,566.00,,67.33,,24.79,,75.40,,3.12,,0.00,,161.08,,,,51.76,,221.91,,,,,
"24713",929.00,7.70,,,622.00,,71.33,,26.73,,90.12,,3.51,,0.00,,170.85,,,,62.40,,249.77,,,,,
"24714",946.00,7.80,,,627.00,,74.54,,27.22,,91.03,,3.51,,0.00,,168.41,,,,63.81,,249.77,,,,,
"24715",949.00,7.70,,,635.00,,72.94,,26.73,,91.95,,3.51,,0.00,,173.29,,,,69.49,,255.53,,,,,
"24716",952.00,7.80,,,628.00,,75.34,,27.70,,92.87,,3.91,,0.00,,170.85,,,,63.81,,255.53,,,,,
"24717",927.00,7.80,,,628.00,,73.74,,27.22,,90.12,,3.91,,0.00,,158.64,,,,59.56,,261.77,,,,,
"24718",945.00,7.80,,,644.00,,74.54,,27.70,,89.20,,3.91,,0.00,,158.64,,,,66.65,,261.77,,,,,
"24719",982.00,8.30,,,679.00,,78.55,,28.19,,92.87,,4.30,,9.60,,144.00,,,,61.69,,285.79,,,,,
"24720",1090.00,7.90,,,754.00,,88.97,,30.62,,106.67,,4.30,,0.00,,178.17,,,,74.45,,317.49,,,,,
"24721",1060.00,7.80,,,732.00,,83.36,,29.65,,107.59,,4.69,,0.00,,178.17,,,,74.45,,295.88,,,,,
"24722",1330.00,7.90,,,961.00,,108.21,,37.91,,135.18,,5.08,,0.00,,195.25,,,,98.56,,401.55,,,,,
"24723",986.00,7.70,,,664.00,,78.55,,27.70,,95.63,,3.91,,0.00,,173.29,,,,66.65,,273.78,,,,,
"24724",1190.00,7.90,,,852.00,,100.19,,34.02,,116.78,,5.08,,0.00,,175.73,,,,80.83,,361.68,,,,,
"24725",1200.00,7.90,,,851.00,,100.99,,34.99,,114.94,,5.08,,0.00,,174.51,,,,80.83,,373.69,,,,,
"24726",1200.00,7.90,,,848.00,,98.59,,34.51,,115.86,,5.08,,0.00,,174.51,,,,80.83,,363.60,,,,,
"24727",1250.00,7.90,,,891.00,,105.00,,36.45,,115.86,,5.86,,0.00,,180.61,,,,87.92,,377.53,,,,,
"24728",1360.00,8.10,,,961.00,,107.40,,38.40,,133.34,,5.47,,0.00,,201.36,,,,109.19,,379.45,,,,,
"24729",835.00,7.90,,,568.00,,64.92,,24.79,,75.40,,3.91,,0.00,,154.98,,,,48.92,,225.75,,,,,
"24730",832.00,7.80,,,569.00,,64.92,,24.30,,76.32,,3.91,,0.00,,148.88,,,,47.51,,237.76,,,,,
"24731",823.00,8.00,,,551.00,,66.52,,24.79,,74.48,,3.91,,0.00,,152.54,,,,46.80,,233.91,,,,,
"24732",811.00,7.70,,,542.00,,68.13,,22.84,,71.72,,3.51,,0.00,,157.42,,,,41.83,,223.83,,,,,
"24733",891.00,7.70,,,603.00,,72.14,,25.27,,80.92,,3.91,,0.00,,163.53,,,,53.89,,244.00,,,,,
"24734",945.00,8.00,,,654.00,,76.14,,26.73,,87.36,,3.91,,0.00,,170.85,,,,60.27,,263.69,,,,,
"24735",949.00,7.90,,,645.00,,77.75,,27.70,,88.28,,3.91,,0.00,,172.07,,,,63.81,,269.94,,,,,
"24736",976.00,7.80,,,662.00,,76.95,,28.19,,90.12,,3.91,,0.00,,175.73,,,,65.94,,265.62,,,,,
"24737",970.00,7.80,,,661.00,,78.55,,27.70,,91.03,,3.91,,0.00,,174.51,,,,65.23,,267.54,,,,,
"24738",971.00,7.80,,,662.00,,78.55,,27.70,,91.03,,3.91,,0.00,,175.73,,,,64.52,,269.94,,,,,
"24739",968.00,7.90,,,655.00,,79.35,,28.19,,67.13,,3.91,,0.00,,175.73,,,,66.65,,267.54,,,,,
"24740",352.00,8.00,,,220.00,,37.07,,13.61,,8.50,,2.73,,0.00,,82.98,,,,26.94,,61.96,,,,,
"24741",863.00,8.30,,,573.00,,71.33,,24.79,,79.08,,3.91,,16.80,,151.32,,,,52.47,,219.99,,,,,
"25273",826.00,8.40,,,542.00,,64.12,,23.69,,72.41,,3.91,,6.00,,125.69,,,,46.09,,224.79,,,,,
"25274",822.00,8.10,,,544.00,,63.12,,24.30,,71.26,,3.91,,0.00,,151.32,,,,45.38,,224.79,,,,,
"25275",815.00,8.10,,,545.00,,66.12,,24.30,,73.56,,3.91,,0.00,,149.49,,,,44.67,,224.79,,,,,
"25276",864.00,8.40,,,570.00,,69.13,,24.91,,78.16,,3.91,,4.20,,142.17,,,,51.76,,229.59,,,,,
"25277",938.00,8.20,,,620.00,,71.13,,26.12,,87.36,,3.91,,0.00,,167.19,,,,60.98,,249.77,,,,,
"25278",955.00,8.10,,,647.00,,76.14,,26.73,,87.40,,3.91,,0.00,,168.41,,,,63.11,,264.66,,,,,
"25279",976.00,8.40,,,645.00,,76.14,,26.73,,88.60,,4.30,,5.10,,150.71,,,,65.23,,254.57,,,,,
"25280",980.00,8.20,,,655.00,,77.15,,28.55,,89.66,,4.30,,0.00,,171.46,,,,64.52,,254.57,,,,,
"25281",994.00,8.50,,,663.00,,76.14,,28.55,,94.25,,4.30,,4.20,,154.98,,,,70.20,,269.94,,,,,
"25282",1078.00,8.20,,,726.00,,90.17,,29.16,,97.70,,4.69,,0.00,,206.24,,,,70.91,,279.55,,,,,
"25283",849.00,8.00,,,541.00,,63.32,,24.79,,75.40,,3.91,,0.00,,156.81,,,,47.51,,225.75,,,,,
"25284",849.00,8.30,,,535.00,,64.92,,25.27,,74.48,,3.91,,7.80,,137.90,,,,47.51,,235.36,,,,,
"25285",851.00,8.30,,,529.00,,64.12,,25.27,,74.48,,3.91,,4.20,,144.00,,,,46.80,,237.76,,,,,
"25286",845.00,8.40,,,538.00,,64.92,,25.27,,75.40,,3.51,,11.40,,131.19,,,,48.22,,239.68,,,,,
"25287",952.00,8.50,,,589.00,,76.14,,26.73,,85.06,,3.91,,11.40,,142.78,,,,56.02,,262.25,,,,,
"25288",1020.00,8.30,,,641.00,,77.15,,27.95,,95.40,,4.30,,6.00,,162.30,,,,69.49,,272.34,,,,,
"25289",1220.00,8.70,,,819.00,,94.18,,35.24,,118.39,,4.69,,15.00,,155.59,,,,90.05,,349.67,,,,,
"25290",1310.00,8.60,,,881.00,,102.19,,38.28,,127.59,,5.08,,11.40,,162.91,,,,98.56,,379.45,,,,,
"25291",1330.00,8.10,,,906.00,,102.19,,38.28,,126.44,,5.86,,0.00,,194.03,,,,99.98,,391.94,,,,,
"25292",856.00,8.00,,,581.00,,69.73,,23.33,,78.16,,3.91,,0.00,,152.54,,,,34.74,,265.62,,,,,
"25293",869.00,8.60,,,570.00,,72.94,,23.33,,76.32,,3.91,,7.50,,138.51,,,,35.45,,261.77,,,,,
"25294",871.00,8.50,,,572.00,,72.14,,23.33,,76.32,,3.91,,6.00,,139.12,,,,34.74,,267.54,,,,,
"25295",900.00,8.20,,,597.00,,76.14,,21.87,,82.76,,3.91,,0.00,,153.76,,,,31.91,,287.71,,,,,
"25296",928.00,8.70,,,630.00,,79.15,,23.69,,85.06,,3.91,,10.50,,134.85,,,,29.07,,302.12,,,,,
"25297",936.00,8.20,,,619.00,,80.15,,23.69,,83.91,,3.91,,0.00,,157.42,,,,33.33,,299.72,,,,,
"25298",940.00,8.30,,,634.00,,75.14,,26.12,,86.21,,3.91,,7.20,,154.98,,,,56.02,,262.25,,,,,
"25299",814.00,8.50,,,538.00,,63.32,,24.79,,74.48,,3.51,,12.30,,133.63,,,,46.09,,229.59,,,,,
"25300",824.00,8.40,,,531.00,,64.12,,24.30,,70.80,,3.51,,3.90,,146.44,,,,46.09,,219.99,,,,,
"25301",847.00,8.40,,,542.00,,66.52,,24.79,,72.64,,3.91,,10.20,,135.46,,,,46.80,,239.68,,,,,
"25302",908.00,8.70,,,606.00,,70.13,,26.73,,89.66,,3.91,,5.10,,154.37,,,,58.85,,252.17,,,,,
"25303",948.00,8.70,,,629.00,,72.14,,27.95,,87.36,,3.91,,14.70,,142.78,,,,66.65,,252.17,,,,,
"25304",1100.00,8.20,,,750.00,,86.16,,32.81,,110.35,,4.69,,0.00,,181.83,,,,80.83,,317.01,,,,,
"25305",1280.00,8.50,,,891.00,,102.19,,38.28,,126.44,,5.08,,25.20,,156.20,,,,98.56,,377.05,,,,,
"25306",1270.00,8.50,,,894.00,,99.19,,36.45,,128.74,,5.08,,11.10,,165.97,,,,98.56,,374.65,,,,,
"25307",900.00,8.40,,,605.00,,71.13,,26.12,,85.06,,4.69,,7.80,,145.22,,,,56.02,,269.94,,,,,
"25308",906.00,8.40,,,610.00,,71.13,,26.73,,86.21,,4.69,,6.60,,145.22,,,,58.14,,259.85,,,,,
"25309",930.00,8.30,,,627.00,,73.14,,27.34,,88.51,,4.30,,5.40,,149.49,,,,57.43,,269.94,,,,,
"25310",1010.00,8.40,,,685.00,,76.14,,29.77,,97.70,,4.69,,13.80,,139.12,,,,65.23,,299.72,,,,,
"25311",1180.00,8.40,,,817.00,,91.17,,35.24,,112.65,,5.08,,7.50,,162.30,,,,75.16,,349.67,,,,,
"25312",1270.00,8.40,,,873.00,,94.18,,37.06,,125.29,,5.08,,13.50,,156.81,,,,107.07,,359.76,,,,,
"25313",1310.00,8.00,,,898.00,,100.99,,35.48,,125.98,,5.08,,0.00,,194.03,,,,102.10,,369.84,,,,,
"25314",1100.00,8.20,,,754.00,,87.37,,32.08,,102.07,,4.69,,0.00,,172.07,,,,73.74,,325.66,,,,,
"25315",1100.00,8.40,,,755.00,,88.97,,32.56,,102.07,,5.08,,21.60,,128.14,,,,73.74,,323.73,,,,,
"25316",1100.00,8.20,,,768.00,,88.17,,31.11,,103.91,,4.69,,0.00,,172.07,,,,73.03,,319.89,,,,,
"25317",1180.00,8.40,,,722.00,,91.37,,34.02,,114.94,,5.08,,14.40,,147.66,,,,88.63,,339.58,,,,,
"25318",1340.00,8.20,,,921.00,,100.19,,38.40,,135.18,,5.08,,0.00,,202.58,,,,123.38,,359.76,,,,,
